,title,author,abstract,publication_year,doi,key,label_included,search,record_id
0,Extreme response style in recurrent and chronically depressed patients: change with antidepressant administration and stability during continuation treatment.,"Peterson, Timothy J.; Feldman, Greg; Harley, Rebecca; Fresco, David M.; Graves, Lesley; Holmes, Avram; Bogdan, Ryan; Papakostas, George I.; Bohn, Laurie; Lury, R. Alana; Fava, Maurizio; Segal, Zindel V.","The authors examined extreme response style in recurrently and chronically depressed patients, assessing its role in therapeutic outcome. During the acute phase, outpatients with major depressive disorder (N = 384) were treated with fluoxetine for 8 weeks. Remitted patients (n = 132) entered a continuation phase during which their fluoxetine dose increased and they were randomly assigned to treatment with or without cognitive-behavioral therapy (CBT). Results showed a predictive relationship between extreme response style and clinical outcome. Patients in the medication-only group showed a significant increase in the frequency of extreme responses, whereas patients receiving CBT showed no significant change. These results are consistent with recent findings suggesting that metacognitive factors may be as important as changes in thought content when treating depression.",2007.0,10.1037/0022-006X.75.1.145,2MY5I4VV,1,cognitive,1
1,Psychometric deviance in offspring at risk for schizophrenia: I. Initial delineation of a distinct subgroup.,"Moldin, S. O.; Gottesman, I. I.; Erlenmeyer-Kimling, L.; Cornblatt, B. A.","Psychometric signs from the Minnesota Multiphasic Personality Inventory (MMPI), which measure substantive disturbances in thinking, social relatedness, volition, and affective expressivity, were evaluated as possible indicators of transmissible liability specific to schizophrenia. Children of three criterion groups in the New York High-Risk Project--offspring at high risk (HR) for schizophrenia, psychiatric comparison (PC) offspring at risk for affective disorders, and normal comparison (NC) offspring not at augmented risk for psychiatric morbidity--were tested before the expression of schizophrenic psychopathology, when the subjects ranged in age from 13 to 26 years. The rate of psychometric deviance in the HR group (23 \ \% \ ) was significantly higher than that in either the PC (7 \ \% \ ) or NC (2 \ \% \ ) groups, and profile analyses showed that the HR subgroup could be delineated by qualitative distinctions in personality functioning. Our results support the utility of MMPI indicators in etiologic investigations of schizophrenia.",1990.0,,R9LTASER,0,personality,2
2,Practice of therapy acquired regulatory skills and depressive relapse/recurrence prophylaxis following cognitive therapy or mindfulness based cognitive therapy,"Segal, Zindel V.; Anderson, Adam K.; Gulamani, Tahira; Dinh Williams, Le-Ahn; Desormeau, Philip; Ferguson, Amanda; Walsh, Kathleen; Farb, Norman A. S.","Background: To investigate whether usage of treatment-acquired regulatory skills is associated with prevention of depressive relapse/recurrence. Method: Remitted depressed outpatients entered a 24-month clinical follow up after either 8 weekly group sessions of cognitive therapy (CT; N = 84) or mindfulness-based cognitive therapy (MBCT; N = 82). The primary outcome was symptom return meeting the criteria for major depression on Module A of the SCID. Results: Factor analysis identified three latent factors (53% of the variance): decentering (DC), distress tolerance (DT), and residual symptoms (RS), which were equivalent across CT and MBCT. Latent change score modeling of factor slopes over the follow up revealed positive slopes for DC (beta = .177), and for DT (beta = .259), but not for RS (beta = -.017), indicating posttreatment growth in DC and DT, but no change in RS. Cox regression indicated that DC slope was a significant predictor of relapse/recurrence prophylaxis, Hazard Ratio (HR) = .232 90% Confidence Interval (CI) [.067, .806], controlling for past depressive episodes, treatment group, and medication. The practice of therapy-acquired regulatory skills had no direct effect on relapse/recurrence (beta = .028) but predicted relapse/recurrence through an indirect path (beta = -.125), such that greater practice of regulatory skills following treatment promoted increases in DC (beta = .462), which, in turn, predicted a reduced risk of relapse/recurrence over 24 months (beta = -.270). Conclusions: Preventing major depressive disorder relapse/recurrence may depend upon developing DC in addition to managing residual symptoms. Following the acquisition of therapy skills during maintenance psychotherapies, DC is strengthened by continued skill utilization beyond treatment termination. (PsycINFO Database Record (c) 2018 APA, all rights reserved) Impact Statement What is the public health significance of this article?-People receiving maintenance psychotherapies for depression are expected to utilize emotion regulation skills past the point of active treatment but receive little guidance regarding which skills are most effective. Our data suggest that resilience to episode return depends upon the development of metacognitive skills for the regulation of distressing thoughts and emotions. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",2018.0,10/ghbp29,LPXXDQJT,1,additional,3
3,How does cognitive therapy prevent relapse in residual depression? Evidence from a controlled trial.,"Teasdale, John D.; Scott, Jan; Moore, Richard G.; Hayhurst, Hazel; Pope, Marie; http://orcid.org/Scott","This study examined the cognitive mediation of relapse prevention by cognitive therapy (CT) in a trial of 158 patients with residual depression. Scores based on agreement with item content of 5 questionnaires of depression-related cognition provided no evidence for cognitive mediation. A measure of the form of response to those questionnaires, the number of times patients used extreme response categories ( totally agree and totally disagree ), showed significant and substantial prediction of relapse, differential response to CT, and conformity to mediational criteria. CT reduced relapse through reductions in absolutist, dichotomous thinking style. CT may prevent relapse by training patients to change the way that they process depression-related material rather than by changing belief in depressive thought content. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",,,2AZSPKAH,1,cognitive,4
4,The cognitive patterns of depressed patients.,"Jiao, Li; Xu, Junmian","Studied the cognitive patterns of depressed patients based on the cognitive theory of A. T. Beck et al (1979). Ss were 51 patients (aged 20-55 yrs) with depressive disorder (DD), 41 patients (aged 20-55 yrs) with nondepressed schizophrenia (NDS), and 96 normal controls (aged 20-55 yrs). The Automatic Thoughts Questionnaire, Dysfunctional Attitudes Scale, Hamilton Rating Scale for Depression, and Beck Depression Inventory (BDI) were used. Cognitive patterns of DD Ss were compared to those of NDS Ss and controls based on Ss' test scores using descriptive statistics. The relationships among automatic thoughts, dysfunctional attitudes, DD, and the remission of DD were analyzed using correlation coefficients, factor analyses, and multiple regression analyses to identify principal factors contributing to dysfunctional attitudes. (English abstract) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",,,KE83GVM9,0,cognitive,5
5,Relationship between mother-child mediated learning experience (MLE) strategies and mothers' attachment style and mental health.,"Isman, Esther B.; Tzuriel, David","The purpose of this study was to investigate the relationships between mother-child mediated learning experience (MLE) strategies and mothers' attachment and mental health. Fifty two Israeli mother-child dyads were videotaped at home in two interaction conditions: free play and structured. The interactions were analyzed using the Observation of Mediated Interaction (OMI). Mothers rated themselves on the Attachment Scale and the Mental Health Inventory. MLE strategies were found to be positively predicted by secure attachment and negatively by anxious attachment. In addition, MLE strategies were positively predicted by feelings of wellbeing. Gender differences are discussed. The findings support previous findings about affect-cognition relationships, and indicate the importance of perceiving the mediator from a holistic point of view. Mediation is perceived not only as a determining factor of affective processes, but also as being determined by them. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",,,W2U5HRVJ,0,psychodynamic,6
6,Trajectories of Depressive Symptoms Over 2 Years Postpartum Among Overweight or Obese Women,"Lee, C. T.; Stroo, M.; Fuemmeler, B.; Malhotra, R.; stbye, T.","Background: Although depressive symptoms are common postpartum, few studies have followed women beyond 12months postpartum to investigate changes in the number and severity of these symptoms over time, especially in overweight and obese women. Using two complementary analytical methods, this study aims to identify trajectories of depressive symptoms over 2 years postpartum among overweight or obese mothers, and assess the demographic, socioeconomic, and health covariates for these trajectories. Methods: Using longitudinal data from two behavioral intervention studies (Kids and Adults Now!-Defeat Obesity [KAN-DO] and Active Mothers Postpartum (AMP); n=844), we used latent growth modeling to identify the overall trajectory of depressive symptoms and how it was related to key covariates. Next, we used latent class growth analysis to assess the heterogeneity in the depressive symptom trajectories over time, and thereby, identify subgroups of women with distinct trajectories. Findings: The overall trajectory of depressive symptoms over 2 years postpartum was relatively stable in our sample. However, the presence of three distinct latent class trajectories (stable-low [82.5 \% ], decreasing symptoms [7.3 \% ], and increasing symptoms [10.2 \% ]), identified based on trajectory shape and mean depressive symptom score, supported heterogeneity in depressive symptom trajectories over time. Lower maternal education was related to a higher symptom score, and poorer subjective health status at baseline predicted inclusion in the increasing symptoms trajectory. Conclusions: In some overweight or obese mothers, postpartum depressive symptoms do not resolve quickly. Practitioners should be aware of this phenomenon and continue to screen for depression for longer periods of time postpartum.",2014.0,,9D7SHZZB,0,behavior,7
7,"Envy, identification, and pride.","Rosenblatt, Allan D.","The constituents (e.g., the attitude that the envier is entitled to an object or attribute) of the complex affective experience of envy are delineated, and defenses (e.g., denial) against each of these constituents are explored. Attention is then called to a common, variably adaptive, and socially approved means of obviating or coping with envious feelings, involving a partial identification and culminating in the conscious experience of being proud of. A conjecture is made regarding narcissistic pathology, which is most likely to interfere with this mechanism. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",,,2Y4BKKHB,0,psychodynamic,8
8,Black/white differences in psychological adjustment to spousal loss among older adults,"Carr, D. S.","This study examines differences between Blacks and Whites in the effect of widowhood on depressive symptoms and anxiety; in grief symptoms six months after spousal loss; and the extent to which these differences are explained by marital quality, social support from children and friends, and religiosity. Analyses are based on the Changing Lives of Older Couples, a prospective study of 1,532 married individuals aged 65 and older. Widowhood is associated with elevated anxiety and depressive symptoms, yet these effects do not differ by race. Among widowed persons only, Blacks and Whites report similar levels of overall grief, yearning, intrusive thoughts, shock, depressive symptoms, and anxiety, whereas Blacks report significantly lower levels of anger and despair. The racial gap in anger is explained by Blacks' higher levels of religious participation and social support from children, whereas the difference in despair reflects Blacks' higher levels of preloss marital conflict.",2004.0,10.1177/0164027504268495,YHTRXNCC,0,cognitive_additional,9
9,Prognostic significance of depression occurrence in infantile autism.,"Scifo, R.; Calandra, C.; Parrinello, M. A.; Marchetti, B.","Autistic children undergoing therapeutic programs, which adopt in our service (USL 3 CT) different theoretical approaches, sometimes show a marked reduction in motor activities, a lowering of tone of voice, physical expression of sadness. We observe that animation is absent in the scene they may draw and colours are no longer used in their drawings. Sleep disturbance may appear or reappearance of enuresis. Many authors consider these symptoms as signs of depression. These changes, even though they create new problems in therapeutic management, are, in our opinion, a very important index of the unblocking of autistic withdrawal and beginning of development of those emotional, relational and cognitive components which seem to be frozen in autistic children and inhibit the birth of the mind, according to the U. Frith Theory. We report in this paper the psychoanalytic, cognitive, systemic, biological viewpoint on the occurrence of depression in infantile autism. We submit three cases of patients being treated in our service with the cognitive-behavioural oriented educational program and pharmacological therapy and discuss the multidimensional approach. The temporary occurrence of depression symptoms may be an index of a change within the resisting autistic balance, which may have a biological basis, but indicates the disorganization of the autistic child's mind in view of further development.",1996.0,,4RFNY7DF,0,cognitive,10
