record_id,Unnamed: 0,title,abstract,label_included,label_abstract_screening,duplicate_record_id,atd
75,74,Effect of patient-specific ratings vs conventional guidelines on investigation decisions in angina: Appropriateness of Referral and Investigation in Angina (ARIA) Trial,"BACKGROUND: Conventional guidelines have limited effect on changing physicians' test ordering. We sought to determine the effect of patient-specific ratings vs conventional guidelines on appropriate investigation of angina. METHODS: Randomized controlled trial of 145 physicians receiving patient-specific ratings (online prompt stating whether the specific vignette was considered appropriate or inappropriate for investigation, with access to detailed information on how the ratings were derived) and 147 physicians receiving conventional guidelines from the American Heart Association and the European Society of Cardiology. Physicians made recommendations on 12 Web-based patient vignettes before and on 12 vignettes after these interventions. The outcome was the proportion of appropriate investigative decisions as defined by 2 independent expert panels. RESULTS: Decisions for exercise electrocardiography were more appropriate with patient-specific ratings (819/1491 [55%]) compared with conventional guidelines (648/1488 [44%]) (odds ratio [OR], 1.57""; 95% confidence interval [CI], 1.36-1.82). The effect was stronger for angiography (1274/1595 [80%] with patient-specific ratings compared with 1009/1576 [64%] with conventional guidelines [OR, 2.24; 95% CI, 1.90-2.62]). Within-arm comparisons confirmed that conventional guidelines had no effect but that patient-specific ratings significantly changed physicians' decisions toward appropriate recommendations for exercise electrocardiography (55% vs 42%; OR, 2.62; 95% CI, 2.14-3.22) and for angiography (80% vs 65%; OR, 2.10;"" 95% CI, 1.79-2.47). These effects were robust to physician specialty (cardiologists and general practitioners) and to vignette characteristics, including older age, female sex, and nonwhite race/ethnicity. CONCLUSION: Patient-specific ratings, unlike conventional guidelines, changed physician testing behavior and have the potential to reduce practice variations and to increase the appropriate use of investigation.",1,1,,43.0
68,67,Durable improvements in prostate cancer screening from online spaced education a randomized controlled trial,"CONTEXT: Prostate cancer screening with prostate-specific antigen (PSA) is frequently performed, counter to clinical practice guidelines. BACKGROUND: It was hypothesized that an e-mail-based intervention termed ""spaced education"" could reduce clinicians' inappropriate screening for prostate cancer. DESIGN: The study was conducted as an RCT. SETTING/PARTICIPANTS: The study involved 95 primary care clinicians in eight Veterans Affairs medical centers from January 2007 to February 2009. INTERVENTION: Participants were randomized into two cohorts: spaced education clinicians received four isomorphic cycles of nine e-mails over 36 weeks (zero to two e-mails per week), whereas control clinicians received no intervention. Each e-mail presented a clinical scenario and asked whether it was appropriate to obtain a PSA test. Participants received immediate feedback after submitting their answers. MAIN OUTCOME MEASURES: The primary outcome was the number and percentage of inappropriate PSA screening tests ordered. Inappropriate testing was defined as use of PSA for prostate cancer screening in patients aged >76 or <40 years. Appropriateness of screening was dichotomized based on patient age at time of screening. Patients with PSA testing for non-screening reasons were excluded using a validated protocol. Logistic regression with adjustment for patient clustering by clinician was performed. Analyses were conducted in 2009. RESULTS: During the intervention period (Weeks 1-36), clinicians receiving spaced education e-mails ordered significantly fewer inappropriate PSA screening tests than control clinicians (10.5% vs 14.2%, p=0.041). Over the 72-week period following the intervention (Weeks 37-108), spaced education clinicians continued to order fewer inappropriate tests compared to controls (7.8% vs 13.1%, respectively, p=0.011), representing a 40% relative reduction in inappropriate screening. CONCLUSIONS: Spaced education durably improves the prostate cancer screening behaviors of clinicians and represents a promising new methodology to improve patient care across healthcare systems.",1,1,,52.0
70,69,Randomized study of online vaccine reminders in adult primary care,"Online immunization reminders were implemented in an adult medicine setting in which all immunization history, vaccine ordering and charting were required online. Physicians were randomized to one of two arms in a cross-over design. Each arm was shown online recommendations for vaccines indicated by nationally accepted guidelines either during the first or during the second part of the study period. The main purpose of the study was to assess the impact of reminders on correct decisions related to prescribing vaccines. Online reminders had the following impact on physician behavior: 1) Physicians used the application almost 3 times as often when shown reminders. 2) Physicians in the reminder group were 27% less likely to order a vaccine in the reminder group (P- value 0.0005). 3) Compliance with guidelines was improved significantly for Tetanus and for Hepatitis B in several analyses. No such effects were found for Pneumoccocal, Measles, or Influenza vaccines.",1,1,,56.0
16,15,Randomized clinical trial of a customized electronic alert requiring an affirmative response compared to a control group receiving a commercial passive CPOE alert: NSAID—warfarin co-prescribing as a test case.,"Background Studies that have looked at the effectiveness of computerized decision support systems to prevent drug–drug interactions have reported modest results because of low response by the providers to the automated alerts.  Objective To evaluate, within an inpatient computerized physician order entry (CPOE) system, the incremental effectiveness of an alert that required a response from the provider, intended as a stronger intervention to prevent concurrent orders of warfarin and non-steroidal anti-inflammatory drugs (NSAIDs).  Design Randomized clinical trial of 1963 clinicians assigned to either an intervention group receiving a customized electronic alert requiring affirmative response or a control group receiving a commercially available passive alert as part of the CPOE. The study duration was 2 August 2006 to 15 December 2007.  Measurements Alert adherence was compared between study groups.  Results The proportion of desired ordering responses (ie, not reordering the alert-triggering drug after firing) was lower in the intervention group (114/464 (25%) customized alerts issued) than in the control group (154/560 (28%) passive alerts firing). The adjusted OR of inappropriate ordering was 1.22 (95% CI 0.69 to 2.16).  Conclusion A customized CPOE alert that required a provider response had no effect in reducing concomitant prescribing of NSAIDs and warfarin beyond that of the commercially available passive alert received by the control group. New CPOE alerts cannot be assumed to be effective in improving prescribing, and need evaluation.",1,1,,59.0
22,21,"A randomized trial of ""corollary orders"" to prevent errors of omission.","Objective: Errors of omission are a common cause of systems failures. Physicians often fail to order tests or treatments needed to monitor/ameliorate the effects of other tests or treatments. The authors hypothesized that automated, guideline-based reminders to physicians, provided as they wrote orders, could reduce these omissions.  Design: The study was performed on the inpatient general medicine ward of a public teaching hospital. Faculty and housestaff from the Indiana University School of Medicine, who used computer workstations to write orders, were randomized to intervention and control groups. As intervention physicians wrote orders for 1 of 87 selected tests or treatments, the computer suggested corollary orders needed to detect or ameliorate adverse reactions to the trigger orders. The physicians could accept or reject these suggestions.  Results: During the 6-month trial, reminders about corollary orders were presented to 48 intervention physicians and withheld from 41 control physicians. Intervention physicians ordered the suggested corollary orders in 46.3% of instances when they received a reminder, compared with 21.9% compliance by control physicians (p < 0.0001). Physicians discriminated in their acceptance of suggested orders, readily accepting some while rejecting others. There were one third fewer interventions initiated by pharmacists with physicians in the intervention than control groups.  Conclusion: This study demonstrates that physician workstations, linked to a comprehensive electronic medical record, can be an efficient means for decreasing errors of omissions and improving adherence to practice guidelines.",1,1,,63.0
32,31,Nudging guideline-concordant antibiotic prescribing: a randomized clinical trial,"IMPORTANCE: ""Nudges"" that influence decision making through subtle cognitive mechanisms have been shown to be highly effective in a wide range of applications, but there have been few experiments to improve clinical practice. OBJECTIVE: To investigate the use of a behavioral ""nudge"" based on the principle of public commitment in encouraging the judicious use of antibiotics for acute respiratory infections (ARIs). DESIGN, SETTING, AND PARTICIPANTS: Randomized clinical trial in 5 outpatient primary care clinics. A total of 954 adults had ARI visits during the study timeframe: 449 patients were treated by clinicians randomized to the posted commitment letter (335 in the baseline period, 114 in the intervention period)"";"" 505 patients were treated by clinicians randomized to standard practice control (384 baseline, 121 intervention). INTERVENTIONS: The intervention consisted of displaying poster-sized commitment letters in examination rooms for 12 weeks. These letters, featuring clinician photographs and signatures, stated their commitment to avoid inappropriate antibiotic prescribing for ARIs. MAIN OUTCOMES AND MEASURES: Antibiotic prescribing rates for antibiotic-inappropriate ARI diagnoses in baseline and intervention periods, adjusted for patient age, sex, and insurance status. RESULTS: Baseline rates were 43.5% and 42.8% for control and poster, respectively. During the intervention period, inappropriate prescribing rates increased to 52.7% for controls but decreased to 33.7% in the posted commitment letter condition. Controlling for baseline prescribing rates, we found that the posted commitment letter resulted in a 19.7 absolute percentage reduction in inappropriate antibiotic prescribing rate relative to control (P = .02). There was no evidence of diagnostic coding shift, and rates of appropriate antibiotic prescriptions did not diminish over time. CONCLUSIONS AND RELEVANCE: Displaying poster-sized commitment letters in examination rooms decreased inappropriate antibiotic prescribing for ARIs. The effect of this simple, low-cost intervention is comparable in magnitude to costlier, more intensive quality-improvement efforts. TRIAL REGISTRATION: clinicaltrials.gov identifier: NCT01767064.",1,1,,67.0
44,43,Effect of Behavioral Interventions on Inappropriate Antibiotic Prescribing Among Primary Care Practices: A Randomized Clinical Trial,"IMPORTANCE: Interventions based on behavioral science might reduce inappropriate antibiotic prescribing. OBJECTIVE: To assess effects of behavioral interventions and rates of inappropriate (not guideline-concordant) antibiotic prescribing during ambulatory visits for acute respiratory tract infections. DESIGN, SETTING, AND PARTICIPANTS: Cluster randomized clinical trial conducted among 47 primary care practices in Boston and Los Angeles. Participants were 248 enrolled clinicians randomized to receive 0, 1, 2, or 3 interventions for 18 months. All clinicians received education on antibiotic prescribing guidelines on enrollment. Interventions began between November 1, 2011, and October 1, 2012. Follow-up for the latest-starting sites ended on April 1, 2014. Adult patients with comorbidities and concomitant infections were excluded. INTERVENTIONS: Three behavioral interventions, implemented alone or in combination: suggested alternatives presented electronic order sets suggesting nonantibiotic treatments""; accountable justification prompted clinicians to enter free-text justifications for prescribing antibiotics into patients' electronic health records;"" peer comparison sent emails to clinicians that compared their antibiotic prescribing rates with those of ""top performers"" (those with the lowest inappropriate prescribing rates). MAIN OUTCOMES AND MEASURES: Antibiotic prescribing rates for visits with antibiotic-inappropriate diagnoses (nonspecific upper respiratory tract infections, acute bronchitis, and influenza) from 18 months preintervention to 18 months afterward, adjusting each intervention's effects for co-occurring interventions and preintervention trends, with random effects for practices and clinicians. RESULTS: There were 14,753 visits (mean patient age, 47 years""; 69% women) for antibiotic-inappropriate acute respiratory tract infections during the baseline period and 16,959 visits (mean patient age, 48 years; 67% women) during the intervention period. Mean antibiotic prescribing rates decreased from 24.1% at intervention start to 13.1% at intervention month 18 (absolute difference, -11.0%) for control practices; from 22.1% to 6.1% (absolute difference, -16.0%) for suggested alternatives (difference in differences, -5.0% [95% CI, -7.8% to 0.1%]; P = .66 for differences in trajectories); from 23.2% to 5.2% (absolute difference, -18.1%) for accountable justification (difference in differences, -7.0% [95% CI, -9.1% to -2.9%]; P < .001); and from 19.9% to 3.7% (absolute difference, -16.3%) for peer comparison (difference in differences, -5.2% [95% CI, -6.9% to -1.6%];"" P < .001). There were no statistically significant interactions (neither synergy nor interference) between interventions. CONCLUSIONS AND RELEVANCE: Among primary care practices, the use of accountable justification and peer comparison as behavioral interventions resulted in lower rates of inappropriate antibiotic prescribing for acute respiratory tract infections. TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT01454947.",1,1,,69.0
25,24,"Computerized decision support to reduce potentially inappropriate prescribing to older emergency department patients: a randomized, controlled trial.","OBJECTIVES: To evaluate the effectiveness of computer-assisted decision support in reducing potentially inappropriate prescribing to older adults.  DESIGN: Randomized, controlled trial.  SETTING: An academic emergency department (ED) in Indianapolis, Indiana, where computerized physican order entry was used to write all medication prescriptions.  PARTICIPANTS: Sixty-three emergency physicians were randomized to the intervention (32 physicians) or control (31 physicians) group.  INTERVENTION: Decision support that advised against use of nine potentially inappropriate medications and recommended safer substitute therapies.  MEASUREMENTS: The primary outcome was the proportion of ED visits by seniors that resulted in one or more prescriptions for an inappropriate medication. The main secondary outcomes were the proportions of medications prescribed that were inappropriate and intervention physicians' reasons for rejecting the decision support.  RESULTS: The average age of the patients was 74, two-thirds were female, and just over half were African American. Decision support was provided 114 times to intervention physicians, who accepted 49 (43%) of the recommendations. Intervention physicians prescribed one or more inappropriate medications during 2.6% of ED visits by seniors, compared with 3.9% of visits managed by control physicians (P=.02;"" odds ratio=0.55, 95% confidence interval=0.34–0.89). The proportion of all prescribed medications that were inappropriate significantly decreased from 5.4% to 3.4%. The most common reason for rejecting decision support was that the patient had no prior problems with the medication.  CONCLUSION: Computerized physican order entry with decision support significantly reduced prescribing of potentially inappropriate medications for seniors. This approach might be used in other efforts to improve ED care.Trial Registration: Clinical trials.gov Identifier: NCT00297869.",1,1,,70.0
6,5,Better medicine by default,"Background. American health care is transitioning to electronic physician ordering. These computerized systems are unique because they allow custom order interfaces. Although these systems provide great benefits, there are also potential pitfalls, as the behavioral sciences have shown that the very format of electronic interfaces can influence decision making. The current research specifically examines how defaults in electronic order templates affect physicians’ treatment decisions and medical errors. Methods. Forty-five medical residents completed order sets for 3 medical case studies. Participants were randomly assigned to receive order sets with either “opt-in” defaults (options visible but unselected) or “opt-out” defaults (options visible and preselected). Results compare error rates between conditions and examine the type and severity of errors most often made with opt-in versus opt-out defaults. Results. Opt-out defaults resulted in a greater number of items ordered and specifically increased commission errors (overordering) compared with opt-in defaults. However, while opt-in defaults resulted in fewer orders, they also increased omission errors. When the severity of the errors is taken into account, the default effects seem limited to less severe errors. Conclusion. The defaults used in electronic order sets influence medical treatment decisions when the consequences to a patient’s health are low. This pattern suggests that physicians cognitively override incorrect default choices but only to a point, and it implies tradeoffs that maximize accuracy and minimize cognitive effort. Results indicate that defaults for low-impact items on electronic templates warrant careful attention because physicians are unlikely to override them.",1,1,,71.0
17,16,A randomized trial of a computer-based intervention to reduce utilization of redundant laboratory tests,"PURPOSE: To determine the impact of giving physicians computerized reminders about apparently redundant clinical laboratory tests.  SUBJECTS AND METHODS: We performed a prospective randomized controlled trial that included all inpatients at a large teaching hospital during a 15-week period. The intervention consisted of computerized reminders at the time a test was ordered that appeared to be redundant. Main outcome measures were the proportions of clinical laboratory orders that were canceled and the proportion of the tests that were actually performed.  RESULTS: During the study period, there were 939 apparently redundant laboratory tests among the 77,609 study tests that were ordered among the intervention (n = 5,700 patients) and control (n = 5,886 patients) groups. In the intervention group, 69% (300 of 437) of tests were canceled in response to reminders. Of 137 overrides, 41% appeared to be justified based on chart review. In the control group, 51% of ordered redundant tests were performed, whereas in the intervention group only 27% of ordered redundant tests were performed (P <0.001). However, the estimated annual savings in laboratory charges was only $35,000. This occurred because only 44% of redundant tests performed had computer orders, because only half the computer orders were screened for redundancy, and because almost one-third of the reminders were overridden.  CONCLUSIONS: Reminders about orders for apparently redundant laboratory tests were effective when delivered. However, the overall effect was limited because many tests were performed without corresponding computer orders, and many orders were not screened for redundancy.",1,1,,77.0
